path,x_start,y_start,x_finish,y_finish,class_title
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279070.jpg,137,173,199,198,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279070.jpg,416,294,479,324,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279070.jpg,2,324,7,440,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279070.jpg,644,306,685,334,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279071.jpg,4,75,5,175,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279071.jpg,416,39,479,71,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279094.jpg,328,3,383,4,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279088.jpg,3,515,6,616,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279088.jpg,674,150,765,498,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279089.jpg,665,0,753,245,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279089.jpg,0,261,1,355,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279089.jpg,120,540,180,559,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279089.jpg,195,686,246,701,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279053.jpg,344,409,391,458,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279052.jpg,347,662,388,710,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279067.jpg,535,2,631,3,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279066.jpg,667,182,736,223,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279066.jpg,299,0,379,5,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279066.jpg,621,202,651,240,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279059.jpg,0,195,1,247,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279059.jpg,1,381,3,434,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279059.jpg,541,291,589,353,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279059.jpg,653,120,695,192,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279059.jpg,767,70,768,171,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279058.jpg,270,2,308,54,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279058.jpg,696,384,768,426,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279058.jpg,591,539,727,635,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279058.jpg,0,446,2,490,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279058.jpg,0,637,1,683,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279054.jpg,342,160,392,201,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279055.jpg,354,575,550,710,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279055.jpg,632,556,685,621,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279055.jpg,440,0,491,27,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279060.jpg,0,123,3,173,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279060.jpg,463,469,486,504,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279060.jpg,545,28,588,93,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279060.jpg,374,216,397,251,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279061.jpg,463,213,485,248,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279061.jpg,284,87,310,117,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279077.jpg,340,611,385,661,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279092.jpg,223,3,282,4,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279092.jpg,297,276,352,285,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279092.jpg,324,537,387,540,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279093.jpg,296,4,358,5,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279093.jpg,322,274,391,275,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279093.jpg,328,668,386,669,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279064.jpg,366,472,384,511,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279064.jpg,619,718,642,750,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279064.jpg,667,696,732,736,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279065.jpg,666,440,733,480,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279065.jpg,620,458,648,492,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279065.jpg,0,442,1,514,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279050.jpg,444,83,480,110,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279051.jpg,447,80,479,111,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279072.jpg,768,164,769,266,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279079.jpg,345,95,380,150,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279078.jpg,338,355,383,409,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279091.jpg,104,3,165,4,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279091.jpg,200,202,260,209,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279091.jpg,257,367,321,370,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279091.jpg,297,538,361,539,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279090.jpg,0,13,1,106,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279090.jpg,67,183,120,219,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279090.jpg,144,319,194,342,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279090.jpg,222,499,279,516,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279090.jpg,271,661,332,666,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279062.jpg,767,158,768,206,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279087.jpg,667,378,768,739,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279069.jpg,142,425,194,456,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279069.jpg,421,553,475,580,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279069.jpg,0,574,1,696,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279069.jpg,645,560,685,587,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279068.jpg,139,1,246,4,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279068.jpg,134,683,199,712,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279057.jpg,351,55,555,197,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279057.jpg,313,257,768,585,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279057.jpg,638,45,685,104,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279057.jpg,692,637,766,688,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279057.jpg,0,706,3,750,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279056.jpg,348,314,556,457,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279056.jpg,682,302,768,365,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889078/img/1889078_1279056.jpg,308,509,646,748,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279112.jpg,170,1,310,2,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279119.jpg,267,554,510,767,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279118.jpg,357,152,392,188,driveways_line
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279118.jpg,222,0,373,136,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279118.jpg,382,1,417,31,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279127.jpg,2,207,229,451,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279127.jpg,268,548,310,583,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279127.jpg,363,432,398,466,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279127.jpg,2,623,3,739,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279126.jpg,0,434,232,706,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279104.jpg,339,4,458,298,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279104.jpg,324,356,377,427,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279104.jpg,444,589,509,767,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279105.jpg,369,1,450,3,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279105.jpg,314,97,384,171,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279105.jpg,512,325,513,576,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279130.jpg,126,1,214,97,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279130.jpg,79,716,138,767,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279131.jpg,139,459,202,527,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279131.jpg,236,633,262,663,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279103.jpg,344,116,512,563,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279103.jpg,259,614,324,765,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279102.jpg,357,366,510,766,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279140.jpg,218,198,296,212,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279140.jpg,283,1,369,2,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279140.jpg,450,3,472,122,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279140.jpg,417,231,498,246,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279140.jpg,159,491,242,504,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279140.jpg,333,686,426,705,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279140.jpg,481,627,509,768,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279141.jpg,159,235,245,251,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279141.jpg,337,425,423,443,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279141.jpg,436,361,512,768,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279141.jpg,180,128,262,146,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279141.jpg,304,612,384,627,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279109.jpg,170,458,512,767,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279109.jpg,0,1,49,3,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279108.jpg,53,0,155,1,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279137.jpg,381,308,392,349,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279137.jpg,344,438,429,458,Poly
/Users/neeliyer/Documents/SPOT/retinanet/retinanet/labelled_images/1889077/img/1889077_1279137.jpg,469,560,510,768,Poly
